,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
10,11,131.0,La Chapelle,Rhône-style Red Blend,Hermitage,,Rhône Valley,France,Paul Jaboulet Aîné,jaboulets view    famous wine seems   changed although  concentrated dense tannins  big black fruit flavors  still    lost  huge brooding presence  past vintages  now   veneer  sophistication  superripe fruit plums  dark jam tastes whether  1999  age  well  older vintages remains   seen    certainly  ready  drink sooner,famous dense big black huge vintage dark old,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
11,12,98.0,Les Bessards,Rhône-style Red Blend,Hermitage,,Rhône Valley,France,Delas Frères,old vines   les bessards vineyard   hermitage hill  offered   majestic wine   considerable power   strong firm tannins  intense brooding dark fruits    wine   obviously  made  last  little use  new wood   wine  10  structure   complexity come entirely   enormously ripe fruit  traditional fermentation,old majestic considerable strong intense dark last ripe traditional,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
12,13,40.0,Brune et Blonde,Syrah,Côte Rôtie,,Rhône Valley,France,E. Guigal, perfect combination  elegance  purity  fruit give  famous wine  blend  fruit   slopes   hills  ampuis  great sense  style  well  power  syrah perfumes   richest  coolest combine  black fruits  give  overwhelming impression  immense fruit flavors,perfect famous rich cool black overwhelming immense,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,14,42.0,Red Mountain Reserve,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Hedges,hedges  one   handful  washington wineries producing top caliber wines  significant quantities    best deeply colored elegant  bordeauxlike  style  substance powerful muscular black cherry fruit blends  dense firm tannins highlighted  elements  iron  earth  wine though young  compressed   perfect expression  red mountain cabernet  20 merlot  also   blend 2100 sixbottle cases made editors choice,top significant colored elegant bordeauxlike powerful muscular black dense perfect,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0"
14,15,15.0,Limited Selection,Sauvignon Blanc,,,Leyda Valley,Chile,Montes, sb  one  chiles best track records  high quality  nose  flavors  exceed norms   former showing bold citrus lime  melon aromas   latter revolving around grapefruit lime  gooseberry  ripe healthy pithy aciddriven  piercing summer sipping calls,good high former bold latter ripe healthy pithy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,16,30.0,Wehlener Sonnenuhr Spätlese,Riesling,,,Mosel,Germany,Dr. Loosen,loosens 2009 spätlese   wehlener sonnenuhr   lush mediumbodied wine loaded  honey  peaches  superripe  succulent   long fruity finish try   szechuan dishes   buffer  sweetness   wine   wine tames    heat,szechuan,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,17,55.0,Late Harvest,Riesling,,,Martinborough,New Zealand,Dry River,plump  slightly sweet  lateharvest riesling comes   10 alcoholsomething along  lines   rich spätlese  terms   alcoholacidsugar balance notes  pineapple  crushed stone open   melon fruit   palate  finish long   bit  cinnamon  ginger spice,sweet rich spatlese,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,18,30.0,Alazan,Pinot Noir,,,Casablanca Valley,Chile,Kingston Family,always   top   chilean pinot heap   true complex wine  kingston family  nose features light raspberry citrus oceanic brine  toasty creamy oak  palate  lush  rolls across  tongue  ease ripe fruit   cherry zone along  cocoa  spice make  fine flavors finishes  purity smooth tannins  herbal twinges,top chilean true complex lush ripe smooth herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0"
18,19,42.0,Coddington,Chardonnay,,,Kumeu,New Zealand,Kumeu River,perhaps  biggest  kumeu rivers 2008 chardonnays  coddington offers waves  tropical fruitpineapple  carambolaallied  mouthfilling richness  balanced  citrusy acids  hints  roasted nuts drink now,big tropical mouthfilling richness balanced roasted,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,20,49.0,Sabbie di Sopra il Bosco,Red Blend,Terre del Volturno,,Southern Italy,Italy,Nanni Copé,heres  new producer  southern italy  presents   interesting blend  pallagrello 70 aglianico  casavecchia  wine opens  warm aromas  leather smoked meat  black fruit  delivers  unique mouthfeel   firm  rich    time,interesting warm black unique rich,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20,21,43.0,Piesporter Goldtröpfchen Trocken GG,Riesling,,,Mosel,Germany,Reichsgraf von Kesselstatt,like  josephshöfer bottling von kesselstatts 2009 gg   piesporter goldtröpfchen boasts  salty minerality  underscores  ripe flavors  peach  orange zest  medium  full  body  nearly bone dry   long mouthwatering finish,ripe full dry,"0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
21,22,25.0,Wehlener Sonnenuhr Kabinett,Riesling,,,Mosel,Germany,S.A. Prüm,makes  interesting contrast   jj prüm bottling    site weighing    full 15 less  finished alcohol  showing mineralinflected passion fruit flavors   touch  vanilla  sweetness  finely balanced  mouthwatering acidity   finish,interesting full finished,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
22,23,35.0,The Blend Limited Edition,Red Blend,,,Aconcagua Valley,Chile,Errazuriz,alluring   nose   ton  dried spice mocha  tobacco aromas  go  beefy berry fruit notes despite  darkness  size  wine delivers bright juicy acidity   herbal cassis  berry flavors tobacco herbs  length define  finish  blend  five red grapes including mourvèdre  petit verdot drink now  2013,bright juicy herbal red,"0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0"
23,24,33.0,Pietracalda,Fiano,Fiano di Avellino,,Southern Italy,Italy,Feudi di San Gregorio,pietracalda  translates  hot rock seems indeed  release aromas  sunbaked granite  river stone  lush background tones  peach pear  yellow lemon zest theres  drying polished feel   mouth   touch  bitter almond   close,hot yellow polished bitter,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,25,22.0,Côtes de Morogues,Sauvignon Blanc,Menetou-Salon,,Loire Valley,France,Fournier Père et Fils,particularly intense   herbaceous front  wine shows rich grapefruit  lemon zest flavors long deep  delicious,intense herbaceous front rich delicious,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25,26,,Vieilles Vignes Sur Lie,Melon,Muscadet Sèvre et Maine,,Loire Valley,France,Gadais Père et Fils,concentrated   full   mouth  wines acidity  tight wrapped around lemon  grapefruit characters good depth  flavor   intense wine,full intense,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
26,27,79.0,The Mackenzie,Cabernet Blend,,,Stellenbosch,South Africa,Hartenberg,dark berries coffee  woody spice start   nose   wine   concentrated  juicy plum  cherry flavors unfolding   mouth creamy  lush  medium acid   lively structure drink now2013,creamy lush medium,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
27,28,79.0,The Stork,Shiraz,,,Stellenbosch,South Africa,Hartenberg,medium weight   satiny smooth texture  great balance    stellar syrah  great complexity   rich dark fruit flavors  forest spice aromatic accents  cured meat  crème brûlée linger   back   bouquet   strong coffee flavor stays strong   finish,medium stellar rich dark brulee strong strong,"0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
28,29,48.0,Premier Cuvée,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Archery Summit, fine elegant pinot noir still   infancy  bright cranberry  raspberry fruit taking center stage  shimmering vivid youthful vitality elevates  fruit flavors  juicy acidity  restrained oak influence though    least expensive wine   archery summit portfolio  may surprise   cellar   extra years   bottle  bring  unsuspected depth  power,elegant bright vivid youthful juicy least expensive cellar extra unsuspected,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0"
29,30,40.0,Geyerscheiss,Riesling,,,Rheinhessen,Germany,Würtz, unique style  riesling naturally fermented   skins  20 days prior  pressing  result  intriguing honey  baked apple notes tinged  peachlike ripeness  briny minerality  mediumbodied crisp  dry yet   sense  honeyed richness,unique peachlike dry,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
30,31,20.0,uQamata,Bordeaux-style Red Blend,,,Stellenbosch,South Africa,Xavier Flouret,made  carmen stevens one  south africas first black female winemakers    gorgeous blend  rich aromas  flavors  black currant leaf licorice cigar tobacco boysenberry  black cherry lush  creamy   mouth  finish offers  hint  fresh mint sprig   last minute lift,first black female gorgeous rich black lush creamy last,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
31,32,28.0,Dillian Ranch,Zinfandel,Amador County,Sierra Foothills,California,US,Joel Gott,delicious  drinkably juicy brambly version  amador county zin consistently one  joel gotts best  appetizing texture  mouthfeel  dry dusty tannins ready  go now   range  meaty foods  also able  age,juicy dry dusty able,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
32,33,35.0,Red Hen Ranch,Chardonnay,Oak Knoll District,Napa,California,US,Laird,soft  rich  chardonnay shows intricately layered flavors  buttered toast grilled peaches orange jam honeysuckle flowers  cinnamon  opulent wine  drink now,soft rich opulent,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
33,34,32.0,Reserve,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Lange,young  loaded  primary fruit flavorsfreshpicked cherries right   tree red delicious apples justmade cranberry saucethis  lovely now  built   long term  136 alcohol listed  verified   juicy acidity  just  touch  herb   back   finish,loaded primary right saucethis lovely juicy,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
34,35,40.0,The Chocolate Block,Red Blend,,,Western Cape,South Africa,Boekenhoutskloof, syrahdominant blend  12 grenache 10 cabernet sauvignon 7 cinsault  2 viognier offers  delicious fruitdriven core matched  complex spice notes  sweet smoke cured meat  fresh tobacco leaf  mouth  silky  smooth  finegrain tannins   white pepperflecked finish drink now2012,complex sweet smooth,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
35,36,59.0,Bombacher Sommerhalde R Trocken,Spätburgunder,,,Baden,Germany,Huber,toasty  darkfruited hubers 2007 bombacher sommerhalde r falls somewhere   wildenstein  malterdinger bienenberg  style  less herbal   powerful   former    muscular   latter  tannins  still silky yet theres great intensity ending   long slightly charred note drink 20122020,herbal powerful former muscular latter charred,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
36,37,16.0,Solane,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,,Veneto,Italy,Santi,tight  aromatically intense  delivers layers  ripe fruit prune black pepper blackberry jelly  cinnamon  beautiful tones  followed  soft velvety tannins,intense ripe black beautiful soft,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,38,30.0,Ranch Reserve,Merlot,Knights Valley,Sonoma,California,US,Summers,drink  charming merlot now   soft sweet richness  fruit   touch  smoky oak  shows cherry red currant  mocha flavors   wrapped  polished tannins,charming merlot soft sweet polished,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
38,39,17.0,Paragon Vineyard,Albariño,Edna Valley,Central Coast,California,US,Tangent,racy  intensely flavored   high  acidity   spectacularly concentrated flavors  apple peach citrus  tropical fruit   oak    fruit starspure  clean even though  residual sugar  technically zero  finish tastes sweet  pair   slightly sweet foods especially vietnamese chinese  thai,high tropical residual sweet sweet vietnamese,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,40,14.0,Lucchine,"Corvina, Rondinella, Molinara",Valpolicella Classico,,Veneto,Italy,Tedeschi,   complex  elaborate    meant    fact simplicity sums    fresh  clean    drink nicely  meatloaf  pork chops,complex elaborate,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,41,17.0,La Forêt,Pinot Noir,Bourgogne,,Burgundy,France,Joseph Drouhin,attractively ripe   fruity redberry flavors along  acidity  soft tannins   ready  drink now,ripe soft,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,42,18.0,Brentino,Red Blend,Veneto,,Veneto,Italy,Maculan, blend  merlot  cabernet sauvignon   bright cherry fruit  light touches  spice  toasted almond  simple  velvety mouthfeel  work  curry chicken  spicy beef,bright almond simple,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
42,43,21.0,Estate grown,Syrah,Sierra Foothills,Sierra Foothills,California,US,Naggiar, broodingly dark oaky syrah    dash  pepper  intense red fruit naggiar continues  make promising rhoneinspired estate wines  rocky mountain soils,dark intense promising rocky,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
43,44,17.0,Le Poiane,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,,Veneto,Italy,Bolla,  zest personality  depth  layers  red fruit spice leather pipe tobacco  dried rosemary emerge  emerge   bouquet,z rosemary emerge,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
44,45,20.0,Réserve,Chardonnay,Bourgogne,,Burgundy,France,Bouchard Père & Fils,ripe  full bodied   packed  tasty fruits notes  pear apricot  white peach mingle easily together creating  forward wine   right depth  flavor,ripe full bodied right,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,46,30.0,Campo Lavei,"Corvina, Rondinella, Molinara",Valpolicella Superiore,,Veneto,Italy,Ca' Rugate, opens  bright fruit notes  blueberry  wild cherry followed  savory touches  exotic spice  green tea  offers heft  endurance without  chewy thickness found   amarone,bright wild savory exotic green heft chewy,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0"
46,47,20.0,Lonesome Spring Ranch,Sauvignon Blanc,Columbia Valley (WA),Columbia Valley,Washington,US,Tildio,lightly scented   rieslinglike petrol note  pungent grassy sauvignon blanc offers  crisply focused mix  celery green berry  spring herb,scented pungent,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
47,48,,Tenuta Valleselle Rovertondo,"Corvina, Rondinella, Molinara",Valpolicella Superiore Ripasso,,Veneto,Italy,Tinazzi, offers hearty fruit layers  black cherry prune  plum followed  notes  spice leather  cola  shows power  determination   finish  soft velvety tannins,hearty soft,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
48,49,10.0,Oak Cask,Syrah,Mendoza,,Mendoza Province,Argentina,Trapiche,bright  bold   eye   generous powerful berry aromas  come   note  spice  feels stacked   slightly tangy  black fruit    syrahs  textbook flavors  leather  animal  holds form   finish,bright bold generous powerful tangy black,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
49,50,20.0,Blanco,White Blend,Edna Valley,Central Coast,California,US,Trenza,made   folks behind tangent  blend  grenache blanc  albariño  rich  orange white flower  roasted almond flavors brightened  zesty edna valley acidity  oak brings  smoky creaminess  also  caramelized sweetness,tangent albarino rich almond zesty smoky,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
50,51,35.0,Paverno,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,,Veneto,Italy,Vaona,lean  streamlined   bright aromas  dried rosemary currant cassis  spice theres isnt  much pulpy fruit  extraction   acidity  refreshening  bright,streamlined bright rosemary much bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
51,52,21.0,Buissonnier,Chardonnay,Montagny,,Burgundy,France,Vignerons de Buxy,soft  rounded    ripe fullbodied wine   pear  peach fruits laced  limelike acidity  notes  almond  yeast   bright crisp finish   wine  age   next two years,soft rounded ripe almond bright crisp,"0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
52,53,25.0,Marie-Antoinette,Chardonnay,Pouilly-Fuissé,,Burgundy,France,Vincent,  vincent family  château de fuissé    ripe wine   green plum  nectarine fruits giving  roundness    time    bright attractive edge  crispness   citrusy finish,ripe bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
53,54,35.0,Clone 777,Pinot Noir,Russian River Valley,Sonoma,California,US,Windsor Oaks,showing red cherry cola  spice flavors    dry  silky like  russian river pinot noir    elegant feeling smooth  clean   palate drink now,dry elegant smooth,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0"
54,55,12.0,Unoaked,Chardonnay,,,Stellenbosch,South Africa,Winery of Good Hope,theres great vibrancy   nose   wine  bright scents  ripe nectarine  pineapple core framed   floral accent reminiscent  rose water  mouthfeel  light  accessible  yellow apple  lime rind flavors drink now,bright ripe floral accent reminiscent accessible yellow,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
55,56,100.0,C.C. Ranch,Cabernet Sauvignon,Rutherford,Napa,California,US,Nickel & Nickel, 100 cabernet   dry  hard tannins housing blackberry plum raisin  cedar flavors   develop bottle complexity   years    price   expensive risk,hard expensive,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
56,57,19.0,Réserve,Pinot Noir,Bourgogne,,Burgundy,France,Nuiton-Beaunoy,  warm  round  red fruit flavors   attractively displayed   backdrop  soft tannins  acidity lends crispness highlighting  ripe fruit   finish,warm round red soft ripe,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
57,58,20.0,Del Arroyo Vineyard,Pinot Gris,Livermore Valley,Central Coast,California,US,Occasio,slightly austere  pinot gris  marked  aromas  orange blossom  cheese rind   crispness   finish  resembles  ripe green apple,austere ripe green,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
58,59,20.0,Austero,"Corvina, Rondinella, Molinara",Valpolicella Superiore Ripasso,,Veneto,Italy,Pietro Zardini,   touch  austerity  savory spice cured meat  teriyaki aromas  palate bursts  bright red fruit  smooth tannins,teriyaki bright red smooth,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0"
59,60,24.0,Estates,St. Vincent,Augusta,,Missouri,US,Mount Pleasant Winery,   redsmelling wine   note  strawberryrhubarb preserves   primary aroma light  medium bodied    glossy feel due   lithe tannins  wellmanaged acids easygoing  enjoyable  finishes   ripe strawberryshortcake note   slight tealike bitterness,primary bodied glossy due lithe enjoyable ripe slight,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60,61,18.0,Petite Petit,Red Blend,Lodi,Central Valley,California,US,Michael David,smoky  oaky    blend  85 petite sirah  15 petit verdot creating one black dense vanillainfused package thats rich  ready  drink now,smoky petite black dense rich,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
61,62,15.0,Bench Vineyards,Merlot,Dry Creek Valley,Sonoma,California,US,Pedroncelli,   good everyday wine  youre looking  something dry fullbodied  fruity   particularly identifiable  merlot   easy  drink  berry  currant flavors   nice tug   tannins,everyday identifiable easy nice,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
62,63,13.0,Valiñas,Albariño,Rías Baixas,,Galicia,Spain,Ramón Bilbao,straightforward peach aromas come   stalky grassy side  feels zesty spritzy  citric  tastes almost entirely  orange  tangerine   dry finish,stalky grassy zesty orange dry,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
63,64,25.0,Chatte d'Avignon,G-S-M,Columbia Valley (WA),Columbia Valley,Washington,US,Seven of Hearts,quite light   bit diffuse  southern rhonestyle red   pretty rose petal accent along  berry  balsamic flavors,light southern petal,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
64,65,16.0,Buissonnier,Pinot Noir,Côte Chalonnaise,,Burgundy,France,Vignerons de Buxy,  light  fruity   red fruit upfront  tannins  balanced  keeping   wines perfumed nature  youthful acidity   finish  likely  soften    year,red balanced youthful soften,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
65,66,,Côtes d'Auxerre,Chardonnay,Bourgogne,,Burgundy,France,Vignerons de Buxy,using grapes sourced  vineyards just outside   chablis region  soft  whitefruited wine  attractive  fragrant  touch  vanilla adds another dimension lending  ripe feel ready  drink,soft fragrant ripe,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
66,67,35.0,Clone 667,Pinot Noir,Russian River Valley,Sonoma,California,US,Windsor Oaks, vegetal touch marks  wine  otherwise shows flavors  sour cherry candy  rhubarb,vegetal sour,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
67,68,33.0,Tour'ga Franc Reserve,Red Blend,Virginia,,Virginia,US,Barrel Oak, blend  60 touriga nacional  40 cabernet franc  smells  peppered blackberries compost smoke  char  palate  structured  sustaining acids   medium load  chunky tannins  dark berry flavor   hint  dried flower add interest,nacional,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
68,69,39.0,Estate Bottled,Norton,Shenandoah Valley,,Virginia,US,Veramar,funky  intriguing   nose  proffers scents  narcissus  farmyard  touches  char  dark fruit medium bodied    open texture  integrated acids  malleable tannins flavors  tart blackberry candy leather  dr pepper surface   palate,funky intriguing dark bodied acid malleable,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
69,70,15.0,the pilgrim,Red Blend,Wahluke Slope,Columbia Valley,Washington,US,Gilbert Cellars, blend  syrah  malbec  sourced   estates doc stewart vineyard light tart rhubarb  watermelon flavors show  accent  mocha drink ,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
70,71,15.0,Artisan Collection,Chardonnay,California,California Other,California,US,HandCraft,  like  chardonnay   fruity side  ones    rich  pineapple orange  apricot jam flavors  notes  buttered toast  cream,rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
71,72,15.0,Rosé,Sparkling Blend,Veneto,,Veneto,Italy,Lamberti, refreshing rosé sparkler   pair  smoked salmon  fried calamari rings   tonic  bright offering crisp acidity  tonic effervescence,bright crisp,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
72,73,19.0,Autumn Chase,Chardonnay,Columbia Valley (WA),Columbia Valley,Washington,US,Page Cellars,sourced   sundance vineyard    soft  oaky chardonnay   round buttery finish best enjoyed   next year  two,soft oaky next,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73,74,17.0,Amulet,Cabernet Franc,Finger Lakes,Finger Lakes,New York,US,Seneca Shore, red cherry flavor  bright  concentrated marked  savory tones  roasted beet spice   hint  pencil shaving  mediumbodied   brisk easydrinking mouthfeel,bright roasted brisk,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
74,75,20.0,Quinta da Fronteira Selecção do Enólogo,Portuguese Red,,,Douro,Portugal,Companhia das Quintas,  fresh  juicy  also  structure  mineral edge   texture gives power acidity  juiciness  contribute   ripe fullbodied mix  woodaging   dominant   stage  give  wine several years drink  2017,ripe dominant several,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
75,76,14.0,Wimmer,Grüner Veltliner,,,Niederösterreich,Austria,Hugl-Wimmer,ripe concord pear   intriguing phenolic mouthfeel combine   highly drinkable light white   enough weight  support food   pleasing hint  savoriness  well  depth,ripe intriguing phenolic drinkable light white enough pleasing,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1"
76,77,30.0,Klaus Federspiel,Grüner Veltliner,,,Wachau,Austria,Jäger,still closed   take  little time  come    shell   worth  wait theres pepper zestiness   streamlined structured body one word comes  mind sleekness,worth structured,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
