wid,price,variety,region,province,country,winery,encoded,color
34,32.0,Pinot Noir,"Willamette Valley, Willamette Valley",Oregon,US,Lange,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
35,40.0,Red Blend,nan,Western Cape,South Africa,Boekenhoutskloof,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
36,59.0,Spätburgunder,nan,Baden,Germany,Huber,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
37,16.0,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,Veneto,Italy,Santi,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
38,30.0,Merlot,"Knights Valley, Sonoma",California,US,Summers,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
39,17.0,Albariño,"Edna Valley, Central Coast",California,US,Tangent,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
40,14.0,"Corvina, Rondinella, Molinara",Valpolicella Classico,Veneto,Italy,Tedeschi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
41,17.0,Pinot Noir,Bourgogne,Burgundy,France,Joseph Drouhin,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
42,18.0,Red Blend,Veneto,Veneto,Italy,Maculan,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
43,21.0,Syrah,"Sierra Foothills, Sierra Foothills",California,US,Naggiar,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
44,17.0,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,Veneto,Italy,Bolla,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
45,20.0,Chardonnay,Bourgogne,Burgundy,France,Bouchard Père & Fils,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
46,30.0,"Corvina, Rondinella, Molinara",Valpolicella Superiore,Veneto,Italy,Ca' Rugate,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0", red
47,20.0,Sauvignon Blanc,"Columbia Valley (WA), Columbia Valley",Washington,US,Tildio,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
48,,"Corvina, Rondinella, Molinara",Valpolicella Superiore Ripasso,Veneto,Italy,Tinazzi,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
49,10.0,Syrah,Mendoza,Mendoza Province,Argentina,Trapiche,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
50,20.0,White Blend,"Edna Valley, Central Coast",California,US,Trenza,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
51,35.0,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,Veneto,Italy,Vaona,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
52,21.0,Chardonnay,Montagny,Burgundy,France,Vignerons de Buxy,"0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
53,25.0,Chardonnay,Pouilly-Fuissé,Burgundy,France,Vincent,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
54,35.0,Pinot Noir,"Russian River Valley, Sonoma",California,US,Windsor Oaks,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0", red
55,12.0,Chardonnay,nan,Stellenbosch,South Africa,Winery of Good Hope,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
56,100.0,Cabernet Sauvignon,"Rutherford, Napa",California,US,Nickel & Nickel,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
57,19.0,Pinot Noir,Bourgogne,Burgundy,France,Nuiton-Beaunoy,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
58,20.0,Pinot Gris,"Livermore Valley, Central Coast",California,US,Occasio,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
59,20.0,"Corvina, Rondinella, Molinara",Valpolicella Superiore Ripasso,Veneto,Italy,Pietro Zardini,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0", red
60,24.0,St. Vincent,Augusta,Missouri,US,Mount Pleasant Winery,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
61,18.0,Red Blend,"Lodi, Central Valley",California,US,Michael David,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
62,15.0,Merlot,"Dry Creek Valley, Sonoma",California,US,Pedroncelli,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
63,13.0,Albariño,Rías Baixas,Galicia,Spain,Ramón Bilbao,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
64,25.0,G-S-M,"Columbia Valley (WA), Columbia Valley",Washington,US,Seven of Hearts,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
65,16.0,Pinot Noir,Côte Chalonnaise,Burgundy,France,Vignerons de Buxy,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
66,,Chardonnay,Bourgogne,Burgundy,France,Vignerons de Buxy,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
67,35.0,Pinot Noir,"Russian River Valley, Sonoma",California,US,Windsor Oaks,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
68,33.0,Red Blend,Virginia,Virginia,US,Barrel Oak,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
69,39.0,Norton,Shenandoah Valley,Virginia,US,Veramar,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
70,15.0,Red Blend,"Wahluke Slope, Columbia Valley",Washington,US,Gilbert Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
71,15.0,Chardonnay,"California, California Other",California,US,HandCraft,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
72,15.0,Sparkling Blend,Veneto,Veneto,Italy,Lamberti,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
73,19.0,Chardonnay,"Columbia Valley (WA), Columbia Valley",Washington,US,Page Cellars,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
74,17.0,Cabernet Franc,"Finger Lakes, Finger Lakes",New York,US,Seneca Shore,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
75,20.0,Portuguese Red,nan,Douro,Portugal,Companhia das Quintas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
76,14.0,Grüner Veltliner,nan,Niederösterreich,Austria,Hugl-Wimmer,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1", white
77,30.0,Grüner Veltliner,nan,Wachau,Austria,Jäger,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
78,,Sauvignon Blanc,Sancerre,Loire Valley,France,Joseph Mellot,"0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0", white
79,25.0,Syrah,"Sierra Foothills, Sierra Foothills",California,US,La Clarine Farm,"1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1", red
80,30.0,Sauvignon,Colli Orientali del Friuli,Northeastern Italy,Italy,La Tunella,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
81,20.0,Cabernet Franc,Saint-Nicolas-de-Bourgueil,Loire Valley,France,Vignoble de la Jarnoterie,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0", red
82,33.0,Syrah,nan,Maipo Valley,Chile,Viña Maipo,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0", red
83,30.0,Cabernet Franc,"El Dorado County, Sierra Foothills",California,US,Vinum Cellars,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
84,20.0,Chardonnay,"Willamette Valley, Willamette Valley",Oregon,US,David Hill,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
85,9.0,Portuguese Red,nan,Lisboa,Portugal,DFJ Vinhos,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
86,16.0,Riesling,nan,Rheingau,Germany,Dr. Nägler,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
87,,Riesling,nan,Kamptal,Austria,Eichinger,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
88,25.0,Red Blend,"Lodi, Central Valley",California,US,Fields Family,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0", red
89,38.0,Riesling,nan,Mosel,Germany,Fritz Haag,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", white
90,22.0,White Blend,Collio,Northeastern Italy,Italy,Gradis'ciutta,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
91,26.0,Riesling,nan,Rheingau,Germany,Johannishof,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
92,,Riesling,nan,Wachau,Austria,Josef Jamek,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
93,22.0,Riesling,nan,Kremstal,Austria,Josef Schmid,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
94,30.0,Friulano,Colli Orientali del Friuli,Northeastern Italy,Italy,La Tunella,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
95,22.0,Chardonnay,"Monterey County, Central Coast",California,US,Le P'tit Paysan,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
96,80.0,White Blend,Rosazzo,Northeastern Italy,Italy,Livio Felluga,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
97,85.0,Nebbiolo,Barolo,Piedmont,Italy,Cordero di Montezemolo,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
98,120.0,Bordeaux-style Red Blend,"Yakima Valley, Columbia Valley",Washington,US,Côte Bonneville,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
99,65.0,Syrah,"Yakima Valley, Columbia Valley",Washington,US,Côte Bonneville,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
100,23.0,Riesling,nan,Wagram,Austria,Diwald,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
101,15.0,Melon,Muscadet Sèvre et Maine,Loire Valley,France,Domaine Martin,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0", white
102,20.0,Grüner Veltliner,nan,Weinviertel,Austria,Dürnberg,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
103,50.0,Tempranillo,Ribera del Duero,Northern Spain,Spain,Emina,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
104,17.0,Tempranillo Blend,Rioja,Northern Spain,Spain,Marqués de Vargas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red or white
105,28.0,Barbera,"El Dorado, Sierra Foothills",California,US,Miraflores,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
106,38.0,G-S-M,"Napa Valley, Napa",California,US,V. Sattui,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
107,39.0,Chardonnay,"Russian River Valley, Sonoma",California,US,Williams Selyem,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1", white
108,40.0,Gewürztraminer,"San Benito County, Central Coast",California,US,Williams Selyem,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
109,20.0,Grüner Veltliner,nan,Niederösterreich,Austria,Winzer Krems,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0", white
110,48.0,Pinot Noir,"Santa Ynez Valley, Central Coast",California,US,Zaca Mesa,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
111,50.0,Red Blend,nan,America,US,Château Élan,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0", red
112,38.0,Mencía,Vino de la Tierra de Castilla y León,Northern Spain,Spain,Alvarez de Toledo,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0", red
113,40.0,Nerello Mascalese,Etna,Sicily & Sardinia,Italy,Antichi Vinai 1877,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
114,15.0,Riesling,nan,Carnuntum,Austria,Artner,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
115,25.0,Bordeaux-style Red Blend,"Red Mountain, Columbia Valley",Washington,US,Auclair,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
116,25.0,Red Blend,"Columbia Valley (WA), Columbia Valley",Washington,US,Beast,"0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0", red
117,60.0,Bordeaux-style Red Blend,"Napa Valley, Napa",California,US,Beaucanon,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
118,79.0,Nebbiolo,Barolo,Piedmont,Italy,Beni di Batasiolo,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
119,14.0,Grüner Veltliner,nan,Austria,Austria,Biokult,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
120,53.0,Pinot Noir,"Sonoma Coast, Sonoma",California,US,Boheme,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
121,55.0,Syrah,"Columbia Valley (WA), Columbia Valley",Washington,US,Betz Family,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0", red
122,55.0,Pinot Noir,"Santa Lucia Highlands, Central Coast",California,US,Siduri,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
123,22.0,Pinot Gris,Anderson Valley,California,US,Breggo,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
124,19.0,Sauvignon,Colli Orientali del Friuli,Northeastern Italy,Italy,Ca'Tullio,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
125,55.0,Cabernet Sauvignon,"Finger Lakes, Finger Lakes",New York,US,Chateau Lafayette Reneau,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0", red
126,20.0,Zinfandel,"Shenandoah Valley (CA), Sierra Foothills",California,US,Clos du Lac,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
127,10.0,Portuguese White,nan,Beira Interior,Portugal,Companhia das Quintas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
128,10.0,Chardonnay,Friuli Grave,Northeastern Italy,Italy,Di Lenardo,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
129,42.0,Rosé,Côtes de Provence,Provence,France,Domaines Ott,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
130,,Portuguese White,nan,Douro,Portugal,Quinta do Vallado,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
131,24.0,Cabernet Franc,"El Dorado, Sierra Foothills",California,US,R & B Cellars,"0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
132,24.0,Tocai Friulano,Collio,Northeastern Italy,Italy,I Clivi,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
133,21.0,Pinot Grigio,Colli Orientali del Friuli,Northeastern Italy,Italy,Il Roncal,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1", white
134,21.0,Sauvignon,Colli Orientali del Friuli,Northeastern Italy,Italy,Il Roncal,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
135,17.0,Pinot Grigio,Venezia Giulia,Northeastern Italy,Italy,Marco Cecchini,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0", white
136,40.0,Gewürztraminer,Alsace,Alsace,France,Jean-Marc Bernhard,"0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0", white
137,35.0,Gewürztraminer,Alsace,Alsace,France,Joseph Cattin,"0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", white
138,80.0,Pinot Noir,"Chehalem Mountains, Willamette Valley",Oregon,US,Lachini,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
139,65.0,Pinot Noir,"Willamette Valley, Willamette Valley",Oregon,US,Lavinea,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
140,28.0,Chenin Blanc,"Santa Ynez Valley, Central Coast",California,US,Leo Steen Wines,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
141,80.0,Cabernet Sauvignon,"Atlas Peak, Napa",California,US,Lobo,"0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
142,50.0,Chardonnay,"Sonoma Coast, Sonoma",California,US,Lutum,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0", white
143,43.0,Syrah,"Russian River Valley, Sonoma",California,US,MacLaren,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1", red
144,50.0,Tempranillo,Ribera del Duero,Northern Spain,Spain,Marqués de la Concordia,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
145,44.0,Malbec,"Paso Robles, Central Coast",California,US,Midnight,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0", red
146,27.0,Glera,Valdobbiadene Prosecco Superiore,Veneto,Italy,Nino Franco,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white
147,43.0,Pinot Noir,Anderson Valley,California,US,Phillips Hill,"1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0", red
148,35.0,Gewürztraminer,Alsace,Alsace,France,Cave de Hunawihr,"0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0", white
149,80.0,Champagne Blend,Champagne,Champagne,France,Chanoine,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
150,19.0,White Blend,"Sonoma County, Sonoma",California,US,Conclusion,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
151,38.0,Pinot Noir,"Southern Oregon, Southern Oregon",Oregon,US,DanCin,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
152,19.0,Sparkling Blend,Crémant d'Alsace,Alsace,France,Domaine Barmès-Buecher,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white or rosé
153,85.0,Red Blend,"Oregon, Oregon Other",Oregon,US,Domaine Serene,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
154,120.0,Cabernet Franc,Mendoza,Mendoza Province,Argentina,El Enemigo,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
155,19.0,Sauvignon Blanc,"Livermore Valley, Central Coast",California,US,Ruby Hill Winery,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
156,40.0,Syrah,"Sierra Foothills, Sierra Foothills",California,US,Terre Rouge,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0", red
157,27.0,Sparkling Blend,Crémant d'Alsace,Alsace,France,Vignoble des 2 Lunes,"0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white or rosé
158,28.0,Chardonnay,"Russian River Valley, Sonoma",California,US,Balletto,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
159,21.0,Glera,Valdobbiadene Prosecco Superiore,Veneto,Italy,Bisol,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0", white
160,56.0,Pinot Noir,"Santa Lucia Highlands, Central Coast",California,US,Boekenoogen,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
161,30.0,Red Blend,nan,Mount Athos,Greece,Tsantali,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
162,30.0,Sparkling Blend,"Finger Lakes, Finger Lakes",New York,US,Atwater,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
163,12.0,Merlot,nan,Maule Valley,Chile,Chilensis,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0", red
164,26.0,Bordeaux-style Red Blend,"Horse Heaven Hills, Columbia Valley",Washington,US,Cloudlift Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
165,18.0,Montepulciano,Rosso Conero,Central Italy,Italy,Conte Leopardi,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0", red
166,14.0,White Blend,Alsace,Alsace,France,Dirler-Cadé,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
167,20.0,Chardonnay,nan,Aconcagua Valley,Chile,Errazuriz,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
