,wid,points,title,description,taster_name,taster_twitter_handle
10,11,94,Paul Jaboulet Aîné 1999 La Chapelle  (Hermitage),"Jaboulet's view of its most famous wine seems to have changed. Although the concentrated, dense tannins and big black fruit flavors are still there, it has lost the huge brooding presence of past vintages, and now has a veneer of sophistication with superripe fruit, plums and dark jam tastes. Whether this 1999 will age as well as older vintages remains to be seen, but it will certainly be ready to drink sooner.",Roger Voss,@vossroger
11,12,94,Delas Frères 1999 Les Bessards  (Hermitage),"Old vines in the Les Bessards vineyard on the Hermitage hill have offered up a majestic wine that has considerable power. With its strong, firm tannins and intense, brooding dark fruits, this is a wine that has obviously been made to last. With little use of new wood for this wine (only 10%), the structure and the complexity come entirely from the enormously ripe fruit and traditional fermentation.",Roger Voss,@vossroger
12,13,94,E. Guigal 1999 Brune et Blonde  (Côte Rôtie),"The perfect combination of elegance and purity of fruit give this famous wine, a blend of fruit from both slopes of the hills above Ampuis, a great sense of style as well as power. The Syrah perfumes, at their richest and coolest, combine with black fruits to give an overwhelming impression of immense fruit flavors.",Roger Voss,@vossroger
13,14,94,Hedges 1999 Red Mountain Reserve Cabernet Sauvignon (Columbia Valley (WA)),"Hedges is one of a handful of Washington wineries producing top- caliber wines in significant quantities. This is their best deeply colored, elegant and Bordeaux-like in style and substance. Powerful, muscular black cherry fruit blends with dense, firm tannins, highlighted with elements of iron and earth. The wine, though young and compressed, is a perfect expression of Red Mountain Cabernet. About 20% Merlot is also in the blend. 2,100 six-bottle cases made. Editors' Choice.",Paul Gregutt,@paulgwine 
14,15,90,Montes 2010 Limited Selection Sauvignon Blanc (Leyda Valley),"This SB has one of Chile's best track records for high quality. The nose and flavors both exceed norms, with the former showing bold citrus, lime and melon aromas and the latter revolving around grapefruit, lime and gooseberry. It's ripe, healthy, pithy, acid-driven and piercing. Summer sipping calls.",Michael Schachner,@wineschach
15,16,90,Dr. Loosen 2009 Wehlener Sonnenuhr Spätlese Riesling (Mosel),"Loosen's 2009 spätlese from the Wehlener Sonnenuhr is a lush, medium-bodied wine loaded with honey and peaches. It's superripe and succulent, with a long, fruity finish. Try it with Szechuan dishes, which will buffer the sweetness of the wine while the wine tames some of the heat.",Joe Czerwinski,@JoeCz
16,17,90,Dry River 2009 Late Harvest Riesling (Martinborough),"Plump and slightly sweet, this late-harvest Riesling comes in at 10% alcohol—something along the lines of a rich spätlese in terms of its alcohol-acid-sugar balance. Notes of pineapple and crushed stone open up to melon fruit on the palate and finish long, with a bit of cinnamon or ginger spice.",Joe Czerwinski,@JoeCz
17,18,90,Kingston Family 2009 Alazan Pinot Noir (Casablanca Valley),"Always at the top of the Chilean Pinot heap is this true, complex wine from Kingston Family. The nose features light raspberry, citrus, oceanic brine and toasty, creamy oak. The palate is lush and rolls across the tongue with ease; ripe fruit in the cherry zone along with cocoa and spice make for fine flavors. Finishes with purity, smooth tannins and herbal twinges.",Michael Schachner,@wineschach
18,19,90,Kumeu River 2008 Coddington Chardonnay (Kumeu),"Perhaps the biggest of Kumeu River's 2008 Chardonnays, the Coddington offers waves of tropical fruit—pineapple and carambola—allied to mouthfilling richness and balanced by citrusy acids and hints of roasted nuts. Drink now.",Joe Czerwinski,@JoeCz
19,20,90,Nanni Copé 2008 Sabbie di Sopra il Bosco Red (Terre del Volturno),"Here's a new producer from southern Italy who presents a very interesting blend of Pallagrello (70%), Aglianico and Casavecchia. The wine opens with warm aromas of leather, smoked meat and black fruit and delivers a unique mouthfeel that is firm but rich at the same time.",Anonymous,
20,21,90,Reichsgraf von Kesselstatt 2009 Piesporter Goldtröpfchen Trocken GG Riesling (Mosel),"Like the Josephshöfer bottling, von Kesselstatt's 2009 GG from the Piesporter Goldtröpfchen boasts a salty minerality that underscores the ripe flavors of peach and orange zest. It's medium to full in body, and nearly bone dry, with a long, mouth-watering finish.",Joe Czerwinski,@JoeCz
21,22,90,S.A. Prüm 2009 Wehlener Sonnenuhr Kabinett Riesling (Mosel),"Makes an interesting contrast with the J.J. Prüm bottling from the same site, weighing in at a full 1.5% less in finished alcohol, and showing mineral-inflected passion fruit flavors and a touch of vanilla. The sweetness is finely balanced by mouthwatering acidity on the finish.",Joe Czerwinski,@JoeCz
22,23,90,Errazuriz 2008 The Blend Limited Edition Red (Aconcagua Valley),"Alluring on the nose, with a ton of dried spice, mocha and tobacco aromas to go with beefy, berry fruit notes. Despite its darkness and size, this wine delivers bright, juicy acidity and then herbal cassis and berry flavors. Tobacco, herbs and length define the finish. A blend of five red grapes, including Mourvèdre and Petit Verdot; drink now through 2013.",Michael Schachner,@wineschach
23,24,90,Feudi di San Gregorio 2009 Pietracalda  (Fiano di Avellino),"Pietracalda (which translates into “hot rock”) seems indeed to release aromas of sunbaked granite or river stone over lush background tones of peach, pear and yellow lemon zest. There's a drying, polished feel in the mouth with a touch of bitter almond on the close.",Anonymous,
24,25,90,Fournier Père et Fils 2009 Côtes de Morogues  (Menetou-Salon),"Particularly intense on the herbaceous front, the wine shows rich grapefruit and lemon zest flavors. Long, deep and delicious.",Roger Voss,@vossroger
25,26,90,Gadais Père et Fils 2009 Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),"Concentrated and very full in the mouth, the wine's acidity is tight, wrapped around lemon and grapefruit characters. Good depth of flavor in this intense wine.",Roger Voss,@vossroger
26,27,90,Hartenberg 2006 The Mackenzie Red (Stellenbosch),"Dark berries, coffee and woody spice start off the nose of this wine, with more concentrated but juicy plum and cherry flavors unfolding in the mouth. Creamy and lush with medium acid and a lively structure. Drink now–2013.",Lauren Buzzeo,@laurbuzz
27,28,90,Hartenberg 2007 The Stork Shiraz (Stellenbosch),"Medium weight with a satiny smooth texture and great balance, this is a stellar Syrah with great complexity between the rich dark fruit flavors and forest spice. Aromatic accents of cured meat and crème brûlée linger in the back of the bouquet, while a strong coffee flavor stays strong through the finish.",Lauren Buzzeo,@laurbuzz
28,29,90,Archery Summit 2008 Premier Cuvée Pinot Noir (Willamette Valley),"A fine, elegant Pinot Noir, still in its infancy, with bright cranberry and raspberry fruit taking center stage. A shimmering, vivid, youthful vitality elevates the fruit flavors, with juicy acidity and restrained oak influence. Though this is the least expensive wine in the Archery Summit portfolio, it may surprise those who cellar it. Some extra years in the bottle could bring out unsuspected depth and power.",Paul Gregutt,@paulgwine 
29,30,90,Würtz 2008 Geyerscheiss Riesling (Rheinhessen),"A unique style of Riesling, naturally fermented on the skins for 20 days prior to pressing. The result is intriguing: honey and baked apple notes tinged with peach-like ripeness and briny minerality. It's medium-bodied, crisp and dry yet with a sense of honeyed richness.",Joe Czerwinski,@JoeCz
30,31,90,Xavier Flouret 2007 uQamata Red (Stellenbosch),"Made by Carmen Stevens, one of South Africa's first black female winemakers, this is a gorgeous blend with rich aromas and flavors of black currant leaf, licorice, cigar tobacco, boysenberry and black cherry. Lush and creamy in the mouth, the finish offers a hint of fresh mint sprig for a last minute lift.",Lauren Buzzeo,@laurbuzz
31,32,90,Joel Gott 2008 Dillian Ranch Zinfandel (Amador County),"Delicious. A drinkably juicy, brambly version of Amador County Zin, consistently one of Joel Gott's best, with appetizing texture and mouthfeel and dry, dusty tannins, ready to go now with a range of meaty foods but also able to age.",Virginie Boone,@vboone
32,33,90,Laird 2008 Red Hen Ranch Chardonnay (Oak Knoll District),"Soft and rich, this Chardonnay shows intricately layered flavors of buttered toast, grilled peaches, orange jam, honeysuckle flowers and cinnamon. An opulent wine to drink now.",Anonymous,
33,34,90,Lange 2009 Reserve Pinot Noir (Willamette Valley),"Young and loaded with primary fruit flavors—fresh-picked cherries right off the tree, red delicious apples, just-made cranberry sauce—this is lovely now but built for the long term. The 13.6% alcohol listed is verified by the juicy acidity and just a touch of herb in the back of the finish.",Paul Gregutt,@paulgwine 
34,35,89,Boekenhoutskloof 2008 The Chocolate Block Red (Western Cape),"This Syrah-dominant blend with 12% Grenache, 10% Cabernet Sauvignon, 7% Cinsault and 2% Viognier offers a delicious, fruit-driven core matched with complex spice notes of sweet smoke, cured meat and fresh tobacco leaf. The mouth is silky and smooth with fine-grain tannins and a white pepper-flecked finish. Drink now–2012.",Lauren Buzzeo,@laurbuzz
35,36,89,Huber 2007 Bombacher Sommerhalde R Trocken Spätburgunder (Baden),"Toasty and dark-fruited, Huber's 2007 Bombacher Sommerhalde R falls somewhere between the Wildenstein and Malterdinger Bienenberg in style. It's less herbal and more powerful than the former, but not as muscular as the latter. The tannins are still silky, yet there's great intensity, ending on a long, slightly charred note. Drink 2012–2020.",Joe Czerwinski,@JoeCz
36,37,87,Santi 2010 Solane  (Valpolicella Classico Superiore Ripasso),"Tight and aromatically intense, this delivers layers of ripe fruit, prune, black pepper, blackberry jelly and cinnamon. Those beautiful tones are followed by soft, velvety tannins.",Anonymous,
37,38,87,Summers 2009 Ranch Reserve Merlot (Knights Valley),"Drink this charming Merlot now for its soft, sweet richness of fruit. With a touch of smoky oak, it shows cherry, red currant and mocha flavors that are wrapped into polished tannins.",Anonymous,
38,39,87,Tangent 2011 Paragon Vineyard Albariño (Edna Valley),"Racy and intensely flavored, this is high in acidity and has spectacularly concentrated flavors of apple, peach, citrus and tropical fruit. With no oak at all, the fruit stars—pure and clean. Even though the residual sugar is technically zero, the finish tastes sweet, so pair it with slightly sweet foods, especially Vietnamese, Chinese or Thai.",Anonymous,
39,40,87,Tedeschi 2011 Lucchine  (Valpolicella Classico),"This is not complex or elaborate, nor is it meant to be. In fact, simplicity sums it up. It's fresh and clean, and it will drink nicely with meatloaf or pork chops.",Anonymous,
40,41,87,Joseph Drouhin 2010 La Forêt  (Bourgogne),"Attractively ripe, this has fruity red-berry flavors along with acidity and soft tannins. This is ready to drink now.",Roger Voss,@vossroger
41,42,87,Maculan 2010 Brentino Red (Veneto),"A blend of Merlot and Cabernet Sauvignon, this has bright cherry fruit, with light touches of spice and toasted almond. The simple, but velvety mouthfeel will work with curry chicken or spicy beef.",Anonymous,
42,43,87,Naggiar 2009 Estate grown Syrah (Sierra Foothills),"A broodingly dark, oaky Syrah, this has a dash of pepper and intense red fruit. Naggiar continues to make promising Rhone-inspired estate wines from rocky mountain soils.",Virginie Boone,@vboone
43,44,87,Bolla 2010 Le Poiane  (Valpolicella Classico Superiore Ripasso),"This has zest, personality and depth, with layers of red fruit, spice, leather, pipe tobacco and dried rosemary emerge that emerge on the bouquet.",Anonymous,
44,45,87,Bouchard Père & Fils 2010 Réserve  (Bourgogne),"Ripe and full bodied, this is packed with tasty fruits. Notes of pear, apricot and white peach mingle easily together, creating a forward, wine with the right depth of flavor.",Roger Voss,@vossroger
45,46,87,Ca' Rugate 2010 Campo Lavei  (Valpolicella Superiore),"This opens with bright fruit notes of blueberry and wild cherry, followed by savory touches of exotic spice and green tea. It offers heft and endurance without the chewy thickness found in some Amarone.",Anonymous,
46,47,87,Tildio 2011 Lonesome Spring Ranch Sauvignon Blanc (Columbia Valley (WA)),"Lightly scented with a Riesling-like petrol note, this pungent, grassy Sauvignon Blanc offers a crisply focused mix of celery, green berry and spring herb.",Paul Gregutt,@paulgwine 
47,48,87,Tinazzi 2009 Tenuta Valleselle Rovertondo  (Valpolicella Superiore Ripasso),"This offers hearty fruit layers of black cherry, prune and plum, followed by notes of spice, leather and cola. It shows power and determination on the finish, with soft, velvety tannins.",Anonymous,
48,49,87,Trapiche 2011 Oak Cask Syrah (Mendoza),"Bright and bold to the eye, this has generous, powerful berry aromas that come with a note of spice. It feels stacked and only slightly tangy, with black fruit and some of Syrah's more textbook flavors of leather and animal. It holds form on the finish.",Michael Schachner,@wineschach
49,50,87,Trenza 2010 Blanco White (Edna Valley),"Made from the folks behind Tangent, this blend of Grenache Blanc and Albariño is rich in orange, white flower and roasted almond flavors, brightened by zesty Edna Valley acidity. The oak brings a smoky creaminess and also some caramelized sweetness.",Anonymous,
50,51,87,Vaona 2009 Paverno  (Amarone della Valpolicella Classico),"Lean and streamlined, this has bright aromas of dried rosemary, currant, cassis and spice. There's isn't too much pulpy fruit or extraction, but the acidity is refreshening and bright.",Anonymous,
51,52,87,Vignerons de Buxy 2010 Buissonnier  (Montagny),"Soft and rounded, this is a ripe, full-bodied wine. It has pear and peach fruits, laced with lime-like acidity and notes of almond and yeast. With its bright, crisp finish, it's a wine to age over the next two years.",Roger Voss,@vossroger
52,53,87,Vincent 2010 Marie-Antoinette  (Pouilly-Fuissé),"From the Vincent family of Château de Fuissé, this is a ripe wine, with its green plum and nectarine fruits giving it roundness. At the same time, there is a bright, attractive edge of crispness, with a citrusy finish.",Roger Voss,@vossroger
53,54,87,Windsor Oaks 2007 Clone 777 Pinot Noir (Russian River Valley),"Showing red cherry, cola and spice flavors, this is very dry and silky, like a Russian River Pinot Noir should be. It's elegant, feeling smooth and clean on the palate. Drink now.",Anonymous,
54,55,87,Winery of Good Hope 2011 Unoaked Chardonnay (Stellenbosch),"There's great vibrancy on the nose of this wine, with bright scents of ripe nectarine and pineapple core, framed by a floral accent reminiscent of rose water. The mouthfeel is light and accessible, with yellow apple and lime rind flavors. Drink now.",Lauren Buzzeo,@laurbuzz
55,56,87,Nickel & Nickel 2009 C.C. Ranch Cabernet Sauvignon (Rutherford),"This 100% Cabernet is very dry, with hard tannins housing blackberry, plum, raisin and cedar flavors. It could develop bottle complexity over the years, but at this price, it's an expensive risk.",Anonymous,
56,57,87,Nuiton-Beaunoy 2010 Réserve  (Bourgogne),"This is warm and round, with red fruit flavors that are attractively displayed against a backdrop of soft tannins. The acidity lends crispness, highlighting the ripe fruit on the finish.",Roger Voss,@vossroger
57,58,87,Occasio 2011 Del Arroyo Vineyard Pinot Gris (Livermore Valley),"Slightly austere, this Pinot Gris is marked by aromas of orange blossom and cheese rind, with a crispness on the finish that resembles a ripe, green apple.",Virginie Boone,@vboone
58,59,87,Pietro Zardini 2008 Austero  (Valpolicella Superiore Ripasso),"This has a touch of austerity, with savory spice, cured meat and teriyaki aromas. The palate bursts with bright red fruit and smooth tannins.",Anonymous,
59,60,85,Mount Pleasant Winery 2010 Estates St. Vincent (Augusta),"This is a red-smelling wine, with a note of strawberry-rhubarb preserves as the primary aroma. Light to medium bodied, it has a glossy feel due to the lithe tannins and well-managed acids. Easygoing and enjoyable, it finishes with a ripe strawberry-shortcake note and a slight tea-like bitterness.",Anonymous,
60,61,85,Michael David 2010 Petite Petit Red (Lodi),"Smoky and oaky, this is a blend of 85% Petite Sirah and 15% Petit Verdot, creating one black, dense, vanilla-infused package that's rich and ready to drink now.",Virginie Boone,@vboone
61,62,85,Pedroncelli 2010 Bench Vineyards Merlot (Dry Creek Valley),"This is a good everyday wine if you're looking for something dry, full-bodied and fruity. It's not particularly identifiable as Merlot, but it's easy to drink, with berry and currant flavors and a nice tug from the tannins.",Anonymous,
62,63,85,Ramón Bilbao 2011 Valiñas Albariño (Rías Baixas),"Straightforward peach aromas come with a stalky, grassy side. It feels zesty, spritzy and citric, then tastes almost entirely of orange and tangerine, with a dry finish.",Michael Schachner,@wineschach
63,64,85,Seven of Hearts 2010 Chatte d'Avignon G-S-M (Columbia Valley (WA)),"Quite light and a bit diffuse, this southern Rhone-style red has a pretty rose petal accent, along with berry and balsamic flavors.",Paul Gregutt,@paulgwine 
64,65,85,Vignerons de Buxy 2010 Buissonnier  (Côte Chalonnaise),"This is light and fruity, with its red fruit upfront. The tannins are balanced, in keeping with the wine's perfumed nature. The youthful acidity on the finish is likely to soften out in a year.",Roger Voss,@vossroger
65,66,85,Vignerons de Buxy 2011 Côtes d'Auxerre  (Bourgogne),"Using grapes sourced from vineyards just outside of the Chablis region, this soft and white-fruited wine is attractive and fragrant. A touch of vanilla adds another dimension, lending a ripe feel. Ready to drink.",Roger Voss,@vossroger
66,67,85,Windsor Oaks 2007 Clone 667 Pinot Noir (Russian River Valley),"A vegetal touch marks this wine, which otherwise shows flavors of sour cherry candy and rhubarb.",Anonymous,
67,68,85,Barrel Oak 2009 Tour'ga Franc Reserve Red (Virginia),"A blend of 60% Touriga Nacional and 40% Cabernet Franc, this smells of peppered blackberries, compost, smoke and char. The palate is structured with sustaining acids and a medium load of chunky tannins. A dark berry flavor and a hint of dried flower add interest.",Anonymous,
68,69,85,Veramar 2008 Estate Bottled Norton (Shenandoah Valley),"Funky and intriguing on the nose, this proffers scents of narcissus and farmyard, with touches of char and dark fruit. Medium bodied, this has an open texture, with integrated acids and malleable tannins. Flavors of tart blackberry candy, leather and Dr. Pepper surface on the palate.",Anonymous,
69,70,85,Gilbert Cellars 2008 the pilgrim Red (Wahluke Slope),"This blend of Syrah and Malbec was sourced from the estate's Doc Stewart Vineyard. Light, tart rhubarb and watermelon flavors show an accent of mocha. Drink up.",Paul Gregutt,@paulgwine 
70,71,85,HandCraft 2011 Artisan Collection Chardonnay (California),"If you like your Chardonnay on the fruity side, this one's for you. It's rich in pineapple, orange and apricot jam flavors, with notes of buttered toast and cream.",Anonymous,
71,72,85,Lamberti NV Rosé Sparkling (Veneto),"A refreshing rosé sparkler that would pair with smoked salmon or fried calamari rings, this is tonic and bright, offering crisp acidity and tonic effervescence.",Anonymous,
72,73,85,Page Cellars 2010 Autumn Chase Chardonnay (Columbia Valley (WA)),"Sourced from the Sundance Vineyard, this is a soft and oaky Chardonnay, with a round, buttery finish. Best enjoyed in the next year or two.",Paul Gregutt,@paulgwine 
73,74,85,Seneca Shore NV Amulet Cabernet Franc (Finger Lakes),"The red cherry flavor is bright and concentrated, marked by savory tones of roasted beet, spice and a hint of pencil shaving. It's medium-bodied, with a brisk, easy-drinking mouthfeel.",Anna Lee C. Iijima,
74,75,90,Companhia das Quintas 2011 Quinta da Fronteira Selecção do Enólogo Red (Douro),"This is fresh and juicy while also having structure; a mineral edge to the texture gives power. Acidity and juiciness both contribute to the ripe, full-bodied mix. The wood-aging is too dominant at this stage, so give the wine several years. Drink from 2017.",Roger Voss,@vossroger
75,76,90,Hugl-Wimmer 2013 Wimmer Grüner Veltliner (Niederösterreich),"Ripe Concord pear and an intriguing, phenolic mouthfeel combine in this highly drinkable light white. There is enough weight to support food and a pleasing hint of savoriness as well as depth.",Anne Krebiehl MW,@AnneInVino
76,77,90,Jäger 2013 Klaus Federspiel Grüner Veltliner (Wachau),"Still closed, this will take a little time to come out of its shell. But it's worth the wait: there's pepper, zestiness and a streamlined, structured body. One word comes to mind: sleekness.",Anne Krebiehl MW,@AnneInVino
77,78,90,Joseph Mellot 2013 Domaine des Emois  (Sancerre),"A single-vineyard wine, ripe with tropical and yellow fruits and with a rich texture. It is concentrated, full in the mouth with delicious juicy acidity as well as warm fruitiness. Its texture, cut with minerality, offers the possibility of aging. Drink from 2015.",Roger Voss,@vossroger
78,79,90,La Clarine Farm 2012 Suma Kaw Syrah (Sierra Foothills),"The wines from this producer always resemble one another aromatically in a unique way. There's bright wild strawberry and healthy handfuls of black and white pepper amidst an earthy, smoky edge. Young, firm, light on the tongue, the finish picks up substantial steam, a hit of herbal smoke there for the taking.",Virginie Boone,@vboone
79,80,90,La Tunella 2012 Col Matiss Sauvignon (Colli Orientali del Friuli),"Bold and savory, it has intriguing aromas of grass, dried hay, stone fruit and dill. The rich, warm palate delivers yellow peach, candied ginger and grapefruit accented with sage and a vanilla note.",Kerin O’Keefe,@kerinokeefe
80,81,90,Vignoble de la Jarnoterie 2010 Quintessence Vieilles Vignes  (Saint-Nicolas-de-Bourgueil),"This concentrated wine has dark tannins as well as perfumed red fruits, blackberry flavors and a dense structure. The old vines give extra intensity and the need to age. Drink from 2016.",Roger Voss,@vossroger
81,82,90,Viña Maipo 2010 Limited Edition Syrah (Maipo Valley),"Strong, dark aromas of blackberry and cassis are tight and dense. This concentrated, voluminous wine has tangy acidity and flavors of savory spice, chocolate and baked berries. An herbal finish with olive and leathery flavors comes with a racy, tangy feel. Drink through 2018.",Michael Schachner,@wineschach
82,83,90,Vinum Cellars 2010 The Scrapper Cabernet Franc (El Dorado County),"The Scrapper is aptly named, packing plenty of flavorful punches into a structured but softly tannic wine. Peppery, especially in aroma, it offers full-bodied leathery black cherry fruit and concentrated layers of savory chocolate. It's delicious and would make a fine pairing with any steak.",Virginie Boone,@vboone
83,84,90,David Hill 2011 Estate Reserve Chardonnay (Willamette Valley),"There is an interesting floral component—white blossoms—coming through in the nose, and sailing along on top of flavors of buttered nuts. A somewhat oily mouthfeel is lifted by moderate acids, and the overall length and follow-through make this one of the better vintages of this affordably priced wine.",Paul Gregutt,@paulgwine 
84,85,90,DFJ Vinhos 2012 Paxis Red (Lisboa),"Rich, spicy and deliciously fruity, it has tannins well cushioned by the ample blackberry flavors. Acidity preserves the wine's easy freshness, while it also has a dense texture. Drink now, but the wine will be richer in late 2014.",Roger Voss,@vossroger
85,86,90,Dr. Nägler 2012 Rüdesheimer Halbtrocken Riesling (Rheingau),"Whiffs of ripe red berries and stone fruit lend a particularly fruity tone to this just off-dry Riesling. While medium bodied in style, sumptuously ripe flavors of peach and nectarine give the palate a distinct plumpness. Wraps up tart and tight with a shower of citrus acidity.",Anna Lee C. Iijima,
86,87,90,Eichinger 2013 Vom Berg Riesling (Kamptal),"Restrained but concentrated fruit rules. Grapefruit peel draws you in only to reveal almost candied, rich orange and citron on the streamlined, linear palate.",Anne Krebiehl MW,@AnneInVino
87,88,90,Fields Family 2011 Il Ladro Red (Lodi),"Meaning “The Thief,” Il Ladro blends 90% Sangiovese, 5% Cabernet Sauvignon and 5% Merlot. A silky smooth blockbuster of a wine, it dances in acidity with bright cherry, clove and spice throughout. The tannins are well-behaved and in the background, the finish exceptionally long.",Virginie Boone,@vboone
88,89,90,Fritz Haag 2012 Brauneberger Juffer Spätlese Riesling (Mosel),"Slightly earthy, savory tones of lanolin and herb lend complexity to a palate that's lavish with peach and quince jelly flavors. Semi-sweet in style, it's quaffable and refreshing with its fruity exuberance offset by a cutting, stark acidity.",Anna Lee C. Iijima,
89,90,90,Gradis'ciutta 2011 Bratinis White (Collio),"This full-bodied and savory blend of Chardonnay, Ribolla Gialla and Sauvignon opens with lovely aromas of hawthorne, apple and stone fruit. The vibrant palate delivers yellow peach, nectarine, Golden Delicious apple and candied citrus alongside bright acidity.",Kerin O’Keefe,@kerinokeefe
90,91,90,Johannishof 2012 Johannisberg V Kabinett Riesling (Rheingau),"Hints of lemongrass and blossom lend lavish perfume to flavors of peach and cantaloupe in this ripe, richly fruity wine. Medium-sweet in style, it's backed by a piercing lemon acidity and zest notes that linger on the finish.",Anna Lee C. Iijima,
91,92,90,Josef Jamek 2013 Ried Klaus Federspiel Riesling (Wachau),"This is reminiscent of a very well-done fruit cocktail. Grape. melon and pear mingle amongst citrus freshness with some tropical hints of lychee mixed in. Wonderfully fruity, rounded and fresh with a zesty seam of acidity.",Anne Krebiehl MW,@AnneInVino
92,93,90,Josef Schmid 2013 Vom Urgestein Riesling (Kremstal),"A touch of flint, some spritz and the zesty tang of both lemon and grapefruit peel make this racy and sleek . An addictive seam of bright acid puls through to a long, lingering and clean finish.",Anne Krebiehl MW,@AnneInVino
93,94,90,La Tunella 2012 Col Livius Friulano (Colli Orientali del Friuli),"Made from native grape Friulano and fermented in large casks, this full-bodied, sophisticated wine opens with delicate aromas that recall lemon blossom, acacia and walnut. The linear palate offers Bartlett pear, lemon zest and golden apple accented with notes of bitter almond. This will develop complexity over the next few years. Drink through 2018.",Kerin O’Keefe,@kerinokeefe
94,95,90,Le P'tit Paysan 2012 Jack's Hill Chardonnay (Monterey County),"The subtle scent of vanilla soufflé translates as a soft mouthfeel and buttered toast flavors, resulting in a wine ready for meals both casual (roast chicken and mashed potatoes) or upscale (nut-crusted halibut atop polenta). There's ample acidity, but it still falls in the traditional California Chardonnay camp.",Matt Kettmann,@mattkettmann
95,96,90,Livio Felluga 2011 Terre Alte  (Rosazzo),"A blend Friulano (fermented in oak) and Pinot Bianco and Sauvignon (fermented in steel tanks), this has aromas of white fragrant flowers, subtle oak, toast and exotic fruit. The rich palate offers pear, apple, candied citrus, vanilla and butterscotch.",Kerin O’Keefe,@kerinokeefe
96,97,90,Cordero di Montezemolo 2012 Gattera  (Barolo),"Leather, underbrush, baked plum, menthol and a whiff of cake spice are some of the aromas that lift out of the glass. The ripe palate delivers dried black cherry, fig, star anise, mocha, espresso and grilled sage while close-grained tannins provide the framework. Drink 2017–2022.",Kerin O’Keefe,@kerinokeefe
97,98,90,Côte Bonneville 2009 Estate Bottled DuBrul Vineyard Red (Yakima Valley),"This wine is a blend of Cabernet Sauvignon and Merlot. The aromas suggest notes of high-toned herbs, cranberry, fresh cherries and cassis that provide appeal. The palate provides elegant, sophisticated flavors that linger.",Sean P. Sullivan,@wawinereport
