wid,price,variety,designation,region,province,country,winery,encoded,color
39,17.0,Albariño,Paragon Vineyard,"Edna Valley, Central Coast",California,US,Tangent,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
40,14.0,"Corvina, Rondinella, Molinara",Lucchine,Valpolicella Classico,Veneto,Italy,Tedeschi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
41,17.0,Pinot Noir,La Forêt,Bourgogne,Burgundy,France,Joseph Drouhin,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
42,18.0,Red Blend,Brentino,Veneto,Veneto,Italy,Maculan,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
43,21.0,Syrah,Estate grown,"Sierra Foothills, Sierra Foothills",California,US,Naggiar,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
44,17.0,"Corvina, Rondinella, Molinara",Le Poiane,Valpolicella Classico Superiore Ripasso,Veneto,Italy,Bolla,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
45,20.0,Chardonnay,Réserve,Bourgogne,Burgundy,France,Bouchard Père & Fils,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
46,30.0,"Corvina, Rondinella, Molinara",Campo Lavei,Valpolicella Superiore,Veneto,Italy,Ca' Rugate,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0", red
47,20.0,Sauvignon Blanc,Lonesome Spring Ranch,"Columbia Valley (WA), Columbia Valley",Washington,US,Tildio,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
48,,"Corvina, Rondinella, Molinara",Tenuta Valleselle Rovertondo,Valpolicella Superiore Ripasso,Veneto,Italy,Tinazzi,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
49,10.0,Syrah,Oak Cask,Mendoza,Mendoza Province,Argentina,Trapiche,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
50,20.0,White Blend,Blanco,"Edna Valley, Central Coast",California,US,Trenza,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
51,35.0,"Corvina, Rondinella, Molinara",Paverno,Amarone della Valpolicella Classico,Veneto,Italy,Vaona,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
52,21.0,Chardonnay,Buissonnier,Montagny,Burgundy,France,Vignerons de Buxy,"0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
53,25.0,Chardonnay,Marie-Antoinette,Pouilly-Fuissé,Burgundy,France,Vincent,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
54,35.0,Pinot Noir,Clone 777,"Russian River Valley, Sonoma",California,US,Windsor Oaks,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0", red
55,12.0,Chardonnay,Unoaked,nan,Stellenbosch,South Africa,Winery of Good Hope,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
56,100.0,Cabernet Sauvignon,C.C. Ranch,"Rutherford, Napa",California,US,Nickel & Nickel,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
57,19.0,Pinot Noir,Réserve,Bourgogne,Burgundy,France,Nuiton-Beaunoy,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
58,20.0,Pinot Gris,Del Arroyo Vineyard,"Livermore Valley, Central Coast",California,US,Occasio,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
59,20.0,"Corvina, Rondinella, Molinara",Austero,Valpolicella Superiore Ripasso,Veneto,Italy,Pietro Zardini,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0", red
60,24.0,St. Vincent,Estates,Augusta,Missouri,US,Mount Pleasant Winery,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
61,18.0,Red Blend,Petite Petit,"Lodi, Central Valley",California,US,Michael David,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
62,15.0,Merlot,Bench Vineyards,"Dry Creek Valley, Sonoma",California,US,Pedroncelli,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
63,13.0,Albariño,Valiñas,Rías Baixas,Galicia,Spain,Ramón Bilbao,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
64,25.0,G-S-M,Chatte d'Avignon,"Columbia Valley (WA), Columbia Valley",Washington,US,Seven of Hearts,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
65,16.0,Pinot Noir,Buissonnier,Côte Chalonnaise,Burgundy,France,Vignerons de Buxy,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
66,,Chardonnay,Côtes d'Auxerre,Bourgogne,Burgundy,France,Vignerons de Buxy,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
67,35.0,Pinot Noir,Clone 667,"Russian River Valley, Sonoma",California,US,Windsor Oaks,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
68,33.0,Red Blend,Tour'ga Franc Reserve,Virginia,Virginia,US,Barrel Oak,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
69,39.0,Norton,Estate Bottled,Shenandoah Valley,Virginia,US,Veramar,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
70,15.0,Red Blend,the pilgrim,"Wahluke Slope, Columbia Valley",Washington,US,Gilbert Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
71,15.0,Chardonnay,Artisan Collection,"California, California Other",California,US,HandCraft,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
72,15.0,Sparkling Blend,Rosé,Veneto,Veneto,Italy,Lamberti,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
73,19.0,Chardonnay,Autumn Chase,"Columbia Valley (WA), Columbia Valley",Washington,US,Page Cellars,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
74,17.0,Cabernet Franc,Amulet,"Finger Lakes, Finger Lakes",New York,US,Seneca Shore,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
75,20.0,Portuguese Red,Quinta da Fronteira Selecção do Enólogo,nan,Douro,Portugal,Companhia das Quintas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
76,14.0,Grüner Veltliner,Wimmer,nan,Niederösterreich,Austria,Hugl-Wimmer,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1", white
77,30.0,Grüner Veltliner,Klaus Federspiel,nan,Wachau,Austria,Jäger,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
78,,Sauvignon Blanc,Domaine des Emois,Sancerre,Loire Valley,France,Joseph Mellot,"0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0", white
79,25.0,Syrah,Suma Kaw,"Sierra Foothills, Sierra Foothills",California,US,La Clarine Farm,"1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1", red
80,30.0,Sauvignon,Col Matiss,Colli Orientali del Friuli,Northeastern Italy,Italy,La Tunella,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
81,20.0,Cabernet Franc,Quintessence Vieilles Vignes,Saint-Nicolas-de-Bourgueil,Loire Valley,France,Vignoble de la Jarnoterie,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0", red
82,33.0,Syrah,Limited Edition,nan,Maipo Valley,Chile,Viña Maipo,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0", red
83,30.0,Cabernet Franc,The Scrapper,"El Dorado County, Sierra Foothills",California,US,Vinum Cellars,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
84,20.0,Chardonnay,Estate Reserve,"Willamette Valley, Willamette Valley",Oregon,US,David Hill,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
85,9.0,Portuguese Red,Paxis,nan,Lisboa,Portugal,DFJ Vinhos,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
86,16.0,Riesling,Rüdesheimer Halbtrocken,nan,Rheingau,Germany,Dr. Nägler,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
87,,Riesling,Vom Berg,nan,Kamptal,Austria,Eichinger,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
88,25.0,Red Blend,Il Ladro,"Lodi, Central Valley",California,US,Fields Family,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0", red
89,38.0,Riesling,Brauneberger Juffer Spätlese,nan,Mosel,Germany,Fritz Haag,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", white
90,22.0,White Blend,Bratinis,Collio,Northeastern Italy,Italy,Gradis'ciutta,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
91,26.0,Riesling,Johannisberg V Kabinett,nan,Rheingau,Germany,Johannishof,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
92,,Riesling,Ried Klaus Federspiel,nan,Wachau,Austria,Josef Jamek,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
93,22.0,Riesling,Vom Urgestein,nan,Kremstal,Austria,Josef Schmid,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
94,30.0,Friulano,Col Livius,Colli Orientali del Friuli,Northeastern Italy,Italy,La Tunella,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
95,22.0,Chardonnay,Jack's Hill,"Monterey County, Central Coast",California,US,Le P'tit Paysan,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
96,80.0,White Blend,Terre Alte,Rosazzo,Northeastern Italy,Italy,Livio Felluga,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
97,85.0,Nebbiolo,Gattera,Barolo,Piedmont,Italy,Cordero di Montezemolo,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
98,120.0,Bordeaux-style Red Blend,Estate Bottled DuBrul Vineyard,"Yakima Valley, Columbia Valley",Washington,US,Côte Bonneville,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
99,65.0,Syrah,Estate Bottled DuBrul Vineyard,"Yakima Valley, Columbia Valley",Washington,US,Côte Bonneville,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
100,23.0,Riesling,Fuchsentanz,nan,Wagram,Austria,Diwald,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
101,15.0,Melon,Les Trois Versants Vieilles Vignes Sur Lie,Muscadet Sèvre et Maine,Loire Valley,France,Domaine Martin,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0", white
102,20.0,Grüner Veltliner,Tradition Reserve,nan,Weinviertel,Austria,Dürnberg,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
103,50.0,Tempranillo,Reserva,Ribera del Duero,Northern Spain,Spain,Emina,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
104,17.0,Tempranillo Blend,Crianza,Rioja,Northern Spain,Spain,Marqués de Vargas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red or white
105,28.0,Barbera,Miraflores Vineyards,"El Dorado, Sierra Foothills",California,US,Miraflores,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
106,38.0,G-S-M,Entanglement,"Napa Valley, Napa",California,US,V. Sattui,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
107,39.0,Chardonnay,Unoaked,"Russian River Valley, Sonoma",California,US,Williams Selyem,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1", white
108,40.0,Gewürztraminer,Vista Verde Vineyard Late Harvest,"San Benito County, Central Coast",California,US,Williams Selyem,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
109,20.0,Grüner Veltliner,Edition Chremisa Sandgrube 13,nan,Niederösterreich,Austria,Winzer Krems,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0", white
110,48.0,Pinot Noir,Bien Nacido Vineyard Homage Collection,"Santa Ynez Valley, Central Coast",California,US,Zaca Mesa,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
111,50.0,Red Blend,Les Petits,nan,America,US,Château Élan,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0", red
112,38.0,Mencía,Marqués de Toro Finca la Moura,Vino de la Tierra de Castilla y León,Northern Spain,Spain,Alvarez de Toledo,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0", red
113,40.0,Nerello Mascalese,Koinè,Etna,Sicily & Sardinia,Italy,Antichi Vinai 1877,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
114,15.0,Riesling,Bühlweingarten,nan,Carnuntum,Austria,Artner,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
115,25.0,Bordeaux-style Red Blend,96 Cedars,"Red Mountain, Columbia Valley",Washington,US,Auclair,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
116,25.0,Red Blend,Wildebeest,"Columbia Valley (WA), Columbia Valley",Washington,US,Beast,"0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0", red
117,60.0,Bordeaux-style Red Blend,Trifecta by Louis de Coninck Estate Bottled,"Napa Valley, Napa",California,US,Beaucanon,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
118,79.0,Nebbiolo,Cerequio,Barolo,Piedmont,Italy,Beni di Batasiolo,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
119,14.0,Grüner Veltliner,Made With Organic Grapes,nan,Austria,Austria,Biokult,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
120,53.0,Pinot Noir,Stuller Vineyard,"Sonoma Coast, Sonoma",California,US,Boheme,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
121,55.0,Syrah,La Serenne,"Columbia Valley (WA), Columbia Valley",Washington,US,Betz Family,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0", red
122,55.0,Pinot Noir,Pisoni Vineyard,"Santa Lucia Highlands, Central Coast",California,US,Siduri,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
123,22.0,Pinot Gris,Wiley Vineyard,Anderson Valley,California,US,Breggo,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
124,19.0,Sauvignon,Sdricca di Manzano,Colli Orientali del Friuli,Northeastern Italy,Italy,Ca'Tullio,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
125,55.0,Cabernet Sauvignon,Owner's Reserve,"Finger Lakes, Finger Lakes",New York,US,Chateau Lafayette Reneau,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0", red
126,20.0,Zinfandel,Potter Vineyard,"Shenandoah Valley (CA), Sierra Foothills",California,US,Clos du Lac,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
127,10.0,Portuguese White,Quinta do Cardo,nan,Beira Interior,Portugal,Companhia das Quintas,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
128,10.0,Chardonnay,Vigneto Vigne da Lis Maris,Friuli Grave,Northeastern Italy,Italy,Di Lenardo,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
129,42.0,Rosé,Château de Selle Clair de Noirs,Côtes de Provence,Provence,France,Domaines Ott,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
130,,Portuguese White,Reserva,nan,Douro,Portugal,Quinta do Vallado,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
131,24.0,Cabernet Franc,Counterpoint,"El Dorado, Sierra Foothills",California,US,R & B Cellars,"0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
132,24.0,Tocai Friulano,Clivi Brazan,Collio,Northeastern Italy,Italy,I Clivi,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
133,21.0,Pinot Grigio,Pinot Grigio,Colli Orientali del Friuli,Northeastern Italy,Italy,Il Roncal,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1", white
134,21.0,Sauvignon,Vigneti Montebello di Fornalis,Colli Orientali del Friuli,Northeastern Italy,Italy,Il Roncal,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
135,17.0,Pinot Grigio,Bellagioia,Venezia Giulia,Northeastern Italy,Italy,Marco Cecchini,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0", white
136,40.0,Gewürztraminer,Mambourg Grand Cru,Alsace,Alsace,France,Jean-Marc Bernhard,"0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0", white
137,35.0,Gewürztraminer,Hatschbourg Grand Cru,Alsace,Alsace,France,Joseph Cattin,"0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", white
138,80.0,Pinot Noir,Cuvée Giselle,"Chehalem Mountains, Willamette Valley",Oregon,US,Lachini,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
139,65.0,Pinot Noir,Tualatin Estate,"Willamette Valley, Willamette Valley",Oregon,US,Lavinea,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
140,28.0,Chenin Blanc,The Steen,"Santa Ynez Valley, Central Coast",California,US,Leo Steen Wines,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
141,80.0,Cabernet Sauvignon,Wulff Vineyards,"Atlas Peak, Napa",California,US,Lobo,"0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
142,50.0,Chardonnay,Durell Vineyard,"Sonoma Coast, Sonoma",California,US,Lutum,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0", white
143,43.0,Syrah,Atoosa's Vineyard,"Russian River Valley, Sonoma",California,US,MacLaren,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1", red
144,50.0,Tempranillo,HZ Abascal Vineyard,Ribera del Duero,Northern Spain,Spain,Marqués de la Concordia,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
145,44.0,Malbec,Solstice,"Paso Robles, Central Coast",California,US,Midnight,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0", red
146,27.0,Glera,Brut,Valdobbiadene Prosecco Superiore,Veneto,Italy,Nino Franco,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white
147,43.0,Pinot Noir,Roma's Vineyard,Anderson Valley,California,US,Phillips Hill,"1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0", red
148,35.0,Gewürztraminer,Rosacker Grand Cru,Alsace,Alsace,France,Cave de Hunawihr,"0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0", white
149,80.0,Champagne Blend,Tsarine Brut,Champagne,Champagne,France,Chanoine,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
150,19.0,White Blend,The Storyteller Proprietary,"Sonoma County, Sonoma",California,US,Conclusion,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
